Símbolo;Empresa;id_Industria;Industria;Sub_industria;Localización;Incorp. SP500;Fundación;Cant. Empleos;Facturac. U$S 2022;Costo Op. U$S;Gcia Bruta U$S 2022;Deuda U$S 2022;Valor de Mercado
HLT;Hilton Worldwide;XLY;Consumer Discretionary;Hotels, Resorts & Cruise Lines;Virginia;19/6/2017;1919;159.000;4.188.999.936;1.451.999.936;2.737.000.000;9.569.999.872;39.182.643.200
HOLX;Hologic;XLV;Health Care;Health Care Equipment;Massachusetts;30/3/2016;1985;6.944;4.038.299.904;727.799.904;3.310.500.000;2.840.199.936;16.996.525.056
HON;Honeywell;XLI;Industrials;Industrial Conglomerates;North Carolina;4/3/1957;1906;97.000;36.146.999.296;24.505.999.296;11.641.000.000;22.364.000.256;119.526.268.928
HPE;Hewlett Packard Enterprise;XLK;Information Technology;Technology Hardware, Storage & Peripherals;Texas;2/11/2015;2015;60.200;29.654.999.040;20.148.999.040;9.506.000.000;13.509.000.192;21.539.221.504
HPQ;HP Inc.;XLK;Information Technology;Technology Hardware, Storage & Peripherals;California;31/12/1974;2015;58.000;54.748.000.256;42.413.000.256;12.335.000.000;11.009.999.872;25.922.295.808
HRL;Hormel Foods;XLP;Consumer Staples;Packaged Foods & Meats;Minnesota;4/3/2009;1891;20.000;12.195.404.800;10.030.718.800;2.164.686.000;3.307.361.024;20.411.066.368
HSIC;Henry Schein;XLV;Health Care;Health Care Distributors;New York;17/3/2015;1932;23.000;12.597.999.616;8.766.999.616;3.831.000.000;1.882.000.000;9.618.891.776
HST;Host Hotels & Resorts;XLRE;Real Estate;Hotel & Resort REITs;Maryland;20/3/2007;1993;165;5.235.999.744;3.705.999.744;1.530.000.000;4.776.999.936;11.603.568.640
HSY;Hershey's;XLP;Consumer Staples;Packaged Foods & Meats;Pennsylvania;4/3/1957;1894;18.075;10.858.385.408;6.359.838.408;4.498.547.000;5.278.499.840;39.975.538.688
HUM;Humana;XLV;Health Care;Managed Health Care;Kentucky;3/2/1971;1961;67.100;98.727.002.112;81.547.002.112;17.180.000.000;12.200.999.936;60.588.044.288
HWM;Howmet Aerospace;XLI;Industrials;Aerospace & Defense;Pennsylvania;4/3/1957;2016;21.400;6.197.000.192;4.601.000.192;1.596.000.000;4.100.000.000;18.809.051.136
IBM;IBM;XLK;Information Technology;IT Consulting & Other Services;New York;4/3/1957;1911;288.300;60.524.998.656;27.836.998.656;32.688.000.000;60.303.998.976;128.925.573.120
ICE;Intercontinental Exchange;XLF;Financials;Financial Exchanges & Data;Atlanta;26/9/2007;2000;9.116;7.362.999.808;70.999.808;7.292.000.000;18.346.000.384;62.655.041.536
